cluster_id,R_eta,n_pairs,tokens_en
globalvoices-v2018q4-doc-73a5e2c7b518ec60,0.9793281842232726,11,314.0
globalvoices-v2018q4-doc-7434fa3558f16daa,1.0877406768427347,33,816.0
globalvoices-v2018q4-doc-74b0fd8c88f8afc7,0.8763910510580323,24,616.0
globalvoices-v2018q4-doc-7624fd386ce9561a,1.0493746469364966,11,388.0
globalvoices-v2018q4-doc-775ed28fa562fcea,0.8633949106486266,7,170.0
globalvoices-v2018q4-doc-791538805a7128fd,0.9044024627522803,46,924.0
globalvoices-v2018q4-doc-7998d5d4c3b586a8,0.9763065689750198,10,308.0
globalvoices-v2018q4-doc-79d7c73db56f899f,0.955564864572778,49,1334.0
globalvoices-v2018q4-doc-7a18f41ca3ca9e77,0.8691914659860557,24,562.0
globalvoices-v2018q4-doc-7aad8aa1c8a3a92e,0.9245547089647494,23,846.0
globalvoices-v2018q4-doc-7b54a59ba7bb93cc,1.0449347293217075,16,431.0
globalvoices-v2018q4-doc-7c614fa0be04c4b3,0.9928083388794762,7,192.0
globalvoices-v2018q4-doc-7e684250aa605d73,0.9612500092576496,25,504.0
globalvoices-v2018q4-doc-7eca6fbee2e22959,0.9630419771437101,23,700.0
globalvoices-v2018q4-doc-7f43c59bdde9a00a,0.9466316745544857,28,857.0
globalvoices-v2018q4-doc-8079a2d7d6edee4f,0.9898970774272903,15,376.0
globalvoices-v2018q4-doc-8084fb5ce5c55f08,0.7484121444128461,7,144.0
globalvoices-v2018q4-doc-80cdbb389c7da837,0.965227517186422,6,173.0
globalvoices-v2018q4-doc-816203a49cdea3f3,0.9491414551472631,25,539.0
globalvoices-v2018q4-doc-81c0fd7c683b6358,0.7679537949086532,5,142.0
globalvoices-v2018q4-doc-844937f7b78b4ef3,0.982149222419509,8,193.0
globalvoices-v2018q4-doc-856796ca1387cfe3,0.9509263546773331,12,215.0
globalvoices-v2018q4-doc-8739a0e0f5720f04,1.0025379485990926,22,474.0
globalvoices-v2018q4-doc-87680b0ebf0caa16,1.0469535363594908,22,518.0
globalvoices-v2018q4-doc-887464d357a725a7,0.9176598309158362,48,1320.0
globalvoices-v2018q4-doc-8885534e43997285,0.854890848647848,8,219.0
globalvoices-v2018q4-doc-897065d44573aff2,0.9160374146614434,49,1192.0
globalvoices-v2018q4-doc-8a06a1e471065e61,1.2257162235703862,4,96.0
globalvoices-v2018q4-doc-8a942c27be7cbaa8,0.9567096155994279,28,942.0
globalvoices-v2018q4-doc-8ae3c31d6a08bf2c,0.8669202828426773,53,1170.0
globalvoices-v2018q4-doc-8c4dac72e72d4b38,0.9307059927167866,18,504.0
globalvoices-v2018q4-doc-8c897cc6c9dea761,0.9338605506220138,19,479.0
globalvoices-v2018q4-doc-8d89db822d12a2b6,1.043345236387628,37,713.0
globalvoices-v2018q4-doc-8dcb23830f68e8cb,0.9376946165940315,16,459.0
globalvoices-v2018q4-doc-8f96e64708fb39e1,1.0755899595460252,23,605.0
globalvoices-v2018q4-doc-8fca5d5c6d0529ab,0.9266166458877844,25,557.0
globalvoices-v2018q4-doc-8ff20eccaddeb143,0.9604092458853807,22,688.0
globalvoices-v2018q4-doc-9010b5d69381b1ad,0.974798845209783,30,713.0
globalvoices-v2018q4-doc-902b787261f6b286,1.037812440273208,7,151.0
globalvoices-v2018q4-doc-904a5471f6dbaf43,0.9241823460206856,47,965.0
globalvoices-v2018q4-doc-91d2431cd8d8f767,0.9824361667010222,29,859.0
globalvoices-v2018q4-doc-92cf5cf592a17005,0.9514000410424355,24,634.0
globalvoices-v2018q4-doc-92f8b99e23ba8239,0.9578131255396134,43,1130.0
globalvoices-v2018q4-doc-9398e532a65a84cc,0.9217704490221735,30,775.0
globalvoices-v2018q4-doc-93c0bbadb438687b,0.8822918432361769,42,949.0
globalvoices-v2018q4-doc-954747f39de9956a,0.9687374957033906,23,565.0
globalvoices-v2018q4-doc-96e314e4228406cb,0.9320017808998812,32,573.0
globalvoices-v2018q4-doc-96f1dc32fcebad50,0.8895918370991677,31,920.0
globalvoices-v2018q4-doc-98ad1e5ae04adad5,0.9438086355368211,71,1197.0
globalvoices-v2018q4-doc-9a0d27a64419f658,0.9061605430240566,9,261.0
globalvoices-v2018q4-doc-9aea8c79fafbc165,0.8676087231126158,31,658.0
globalvoices-v2018q4-doc-9b88559a5efdaad5,0.849530065897798,15,493.0
globalvoices-v2018q4-doc-9c9999653e5dd68c,1.0275031350834634,83,1908.0
globalvoices-v2018q4-doc-9cdbc970dade8653,0.9174531735824085,24,652.0
globalvoices-v2018q4-doc-9dc46e9bc9846045,0.9933069286774028,27,866.0
globalvoices-v2018q4-doc-9e16f14a4b465b0f,0.9597980479634304,50,1302.0
globalvoices-v2018q4-doc-9e60308075f0cb3d,1.0590159872589602,5,108.0
globalvoices-v2018q4-doc-9e95211d12795791,1.0337169160535769,6,172.0
globalvoices-v2018q4-doc-9ecd70a718bc6f53,0.9399738745917403,39,939.0
