split,held_R_eta,held_R_T,held_C_K,pilot_R_eta,R_eta_upper95,R_T_lower95,C_K_upper95,pass_R_eta,pass_R_T,pass_C_K,pass_all
169,0.944624035265253,1.37887833478873,0.8705017684894386,0.9415097140956358,0.9510204621433099,1.3644534552158363,0.8755321452180498,False,True,True,False
170,0.9445826924435107,1.3882934824303432,0.8648411040453474,0.9410431343155184,0.9515600948151149,1.3731842773881024,0.869630433481163,False,True,True,False
171,0.9431825478240268,1.3911868376230128,0.8680839848150557,0.9465534201369665,0.9498186581325193,1.3756107208406256,0.8732550938484588,True,True,True,True
172,0.9406580668553434,1.3803118861687347,0.8667100524968545,0.9555050870241353,0.9480149604532679,1.3650269772220063,0.8723022355714924,True,True,True,True
173,0.9404987176484059,1.3916855269604984,0.8666051931177567,0.9576520388635099,0.9473937467706341,1.3769339898593993,0.871902776830366,True,True,True,True
174,0.9464951082969866,1.3886875565369337,0.8687166208124292,0.9316843194053335,0.9531998362579749,1.3730444200381795,0.8737795962385283,False,True,True,False
175,0.9437969270403573,1.3893193863807307,0.8681875792141952,0.9443805827300432,0.9510507410678144,1.3733530350724579,0.8736306324864506,False,True,True,False
176,0.9422455111979675,1.396304945460995,0.8658046050013126,0.9501308053969931,0.9500685649238149,1.3818486667636556,0.8708941074722284,False,True,True,False
177,0.9462854840898682,1.3794309274453167,0.8673520948237471,0.9351932442919922,0.9535351366207494,1.36457381746783,0.8727761382292502,False,True,True,False
178,0.9444842170444561,1.3901889320344256,0.8676366695388334,0.9413858599056841,0.9515128053159366,1.375683027745481,0.8726823138101635,False,True,True,False
179,0.9427164102136426,1.3881488182743413,0.8688841096827802,0.9494832548969467,0.9496837013333828,1.37306761095518,0.874136472266607,True,True,True,True
180,0.9418755480008523,1.3880853065884824,0.86689841605767,0.9526971492888939,0.9489603052613251,1.373679071722057,0.8725134810112494,True,True,True,True
181,0.9455810903398747,1.3808204023071293,0.8687114004339843,0.9368115290246785,0.9526582055948992,1.36582280565553,0.8741336369219652,False,True,True,False
182,0.9468938246844493,1.3841424535089824,0.867409082264438,0.9322998208306686,0.9538121771057663,1.3695139590729857,0.8726693855181732,False,True,True,False
183,0.9445726230656952,1.3831399317406143,0.8691991972231818,0.9410145211912347,0.9514121407256806,1.368261674437722,0.8744685936333738,False,True,True,False
184,0.9439987580310897,1.3848045070291244,0.8691710280531108,0.9434735639919516,0.9513122158825962,1.3694085875759192,0.8745872600330559,False,True,True,False
185,0.9423904544613027,1.3872264377233918,0.8685655588606647,0.9494225874341704,0.949387138755812,1.3730143010858096,0.8740572745130157,True,True,True,True
186,0.9463347930587243,1.3815513626834381,0.8673467704690901,0.9330870811344285,0.9534833463966107,1.367382014190141,0.872733918575453,False,True,True,False
187,0.944547149711519,1.3908188511994115,0.8666823087752229,0.9415375988083751,0.951780731371836,1.3748546592168758,0.8722687115229975,False,True,True,False
188,0.9455409989935498,1.3904402427800884,0.8658612195653267,0.9374933368082348,0.9528587273164213,1.3757203195755872,0.8710615287181512,False,True,True,False
189,0.9408573737573708,1.3861614653121699,0.8672747635533639,0.955444845182454,0.9479070344527117,1.3696680513171744,0.8725672766902571,True,True,True,True
190,0.9429712085340566,1.3862957095020052,0.8676038413556938,0.947746624729931,0.9501348802617807,1.370289963983747,0.8732320990061535,False,True,True,False
191,0.9395211995171253,1.393543388131075,0.8675590668802231,0.9625226940822753,0.9463384145924749,1.3788404345154321,0.8731321693581483,True,True,True,True
192,0.9464478492972519,1.3846444737294448,0.8649849790202845,0.9329140159243966,0.953568549198255,1.3690996894592276,0.8700476172315526,False,True,True,False
193,0.9452048054993613,1.3885895593869733,0.8683423151541281,0.9393167258086398,0.9517161950207765,1.3721619801688663,0.8732673523845687,False,True,True,False
194,0.9451980287385737,1.3906865795478116,0.8680405366213405,0.9385640840741005,0.9521993111464527,1.3759132553186717,0.8732817293224926,False,True,True,False
195,0.9448420797549084,1.3886739043746383,0.8671840874896867,0.9391950388494398,0.9516493943911354,1.3746949432362305,0.8719846028951415,False,True,True,False
196,0.9450120215297585,1.3922792498319307,0.8643328407600891,0.9394481668820157,0.951954996271879,1.3767815703176458,0.8691819082062717,False,True,True,False
197,0.9432048372831793,1.387598864035669,0.8667278305235322,0.9468490382183568,0.9501112669274713,1.372592129740263,0.8719509201897421,False,True,True,False
198,0.9435912473517339,1.3800831439237808,0.8663418297251402,0.9448917152948503,0.9512132150405176,1.365635822109002,0.871886344366513,False,True,True,False
199,0.9439042263172119,1.3884875086396853,0.8645799207791047,0.9438464222104122,0.9511417503062123,1.3741716009478193,0.8695408066287562,False,True,True,False
200,0.9453596434027294,1.3870583454410839,0.8663667339575466,0.9366367186430213,0.952471089468882,1.3714328248262304,0.871645466750025,False,True,True,False
201,0.9439101538931834,1.3876030303201496,0.8687286510518237,0.9438422592834614,0.9509689824722205,1.3731710172913572,0.8738550843022452,False,True,True,False
202,0.9417933421634396,1.38147820623211,0.8661424949674463,0.9528467065252838,0.9488329067770644,1.3657633567254026,0.8715351908335164,True,True,True,True
203,0.9442308733093459,1.380413684699382,0.8668426455492008,0.942712738728841,0.9512486362558702,1.3648938556518917,0.8721949923945757,False,True,True,False
204,0.9421825764753272,1.385798802785736,0.8681939273738791,0.9510278868301569,0.9491656036047863,1.3698007403858485,0.8732418648219765,True,True,True,True
205,0.9453864248344866,1.3830795201921133,0.8682359109682355,0.9385340647844935,0.952034494983439,1.3669812645938066,0.8730653940311097,False,True,True,False
206,0.9457419670777707,1.386537582484558,0.8668827875365602,0.9367994485128001,0.9527412928373029,1.3704965553423134,0.872341147291032,False,True,True,False
207,0.942098835688675,1.3943998752447455,0.8671637154395775,0.9516305496092057,0.9491317356816298,1.3808839872313445,0.8725580840632114,True,True,True,True
208,0.9382255967482307,1.394172979175964,0.8654178722272108,0.9678933166362231,0.9449997530864166,1.3791686174377933,0.8704811550799261,True,True,True,True
209,0.9458901209476385,1.3880361055733474,0.8649194139347522,0.9360386107626715,0.9533215875863486,1.3724365881185552,0.870198767248191,False,True,True,False
210,0.9422088883418408,1.3881627487088435,0.8672209210878827,0.9498446232548048,0.9494573822892253,1.373763413053319,0.8724611310657024,True,True,True,True
211,0.9426700147586833,1.3898399639355348,0.8681768238046391,0.9498984300335601,0.9491133027686633,1.3750155078216089,0.8733161451510537,True,True,True,True
212,0.9423743290039872,1.3877073203597858,0.8688617448686877,0.9514229208456418,0.9490899535638561,1.3724005789300415,0.8743854727288075,True,True,True,True
213,0.9416905588992073,1.3935730906306147,0.8645578823668659,0.9524317770852517,0.9484994525128037,1.378118719601682,0.8700221443409213,True,True,True,True
214,0.9457513994300023,1.3870650724196831,0.8694056917289428,0.936703378398228,0.9523918296777669,1.3717129490845674,0.8744416019598682,False,True,True,False
215,0.944055249707399,1.385275373235334,0.8644203157125623,0.9433250998328039,0.95137213720491,1.3701973445004023,0.8691445512079117,False,True,True,False
216,0.9454356261042818,1.3839622915999883,0.8663061805429998,0.9377802607183948,0.9524562445428614,1.3699881630047757,0.8718138083839388,False,True,True,False
217,0.9415991592914363,1.3828978950458461,0.8681151276768434,0.9538520252826709,0.9486379193017791,1.3683923302775731,0.8731979075745151,True,True,True,True
218,0.9391393443569814,1.388854809415557,0.8660841098832577,0.9606511523919676,0.9462681342474565,1.37272324135866,0.8714037198176668,True,True,True,True
219,0.9456328247422695,1.3858443646155543,0.8682741552519064,0.9368481436935011,0.9530559495864411,1.3695010143635094,0.8737252937842135,False,True,True,False
220,0.9491312983662408,1.3784941956105585,0.8666343912040871,0.9240318206675314,0.9566764090094629,1.3628287028475055,0.8719998578753926,False,True,True,False
221,0.9438440297008607,1.3848635661575426,0.8661230626879481,0.9441986766248127,0.9504554949997528,1.369520474124953,0.8714149457693096,False,True,True,False
222,0.944378501044664,1.3865165015159788,0.8680161366673509,0.9419657959956387,0.9509251338093682,1.3717319507010173,0.8729241830920641,False,True,True,False
223,0.9445471409650638,1.3827986754734831,0.8659039268850991,0.9413800340967892,0.9513202381802809,1.368140111666475,0.8709246966229721,False,True,True,False
224,0.9444649049304611,1.387650538467276,0.8695747451985694,0.9415018226236626,0.9513359843689795,1.3727041779046756,0.874802275510365,False,True,True,False
225,0.9475700889552664,1.382451600536707,0.8664901729696003,0.931299969456191,0.9543149377701248,1.3656622098114137,0.8714021002022211,False,True,True,False
226,0.9462280723177768,1.382542984799578,0.8684176331772665,0.9344651299918688,0.9531587531337481,1.3664216120716715,0.8738115867222419,False,True,True,False
227,0.945390627721492,1.3824574721369174,0.8661425184075877,0.9375352809342354,0.9526679681898419,1.367421884965917,0.8712705295409174,False,True,True,False
228,0.9438625762923265,1.3878808726984386,0.867371587247575,0.9440655385820583,0.9510795372440547,1.3723042331116242,0.8722816982195039,False,True,True,False
229,0.9444439657235925,1.3817751045845519,0.86739697659971,0.9417215999016887,0.9514399542951938,1.3670126302806356,0.872889918940747,False,True,True,False
230,0.9441586545845674,1.3745280554698074,0.8688574858988866,0.9433794754363727,0.9514326254369759,1.3583756502209987,0.8743389584921142,False,True,True,False
231,0.9418463112837006,1.3880994310091306,0.869629660644378,0.952331227213102,0.9481053035062086,1.3730854189413335,0.8750155221701343,True,True,True,True
232,0.9444877718531568,1.3883551902029796,0.8651282518763538,0.9418147959603921,0.951557533535412,1.3722249068718775,0.8702458589264315,False,True,True,False
233,0.9415920989399914,1.3955656740152615,0.8680206582776571,0.9541321766993649,0.9486781328281788,1.3815058253876236,0.8732345404208921,True,True,True,True
234,0.9437282516545172,1.3900611464679122,0.8670964846061249,0.9446128751357686,0.9505908070341614,1.3742578294375758,0.8724484965026957,False,True,True,False
235,0.9447558099883642,1.3817423292948985,0.8665168916790896,0.9405769469797689,0.9516544104384782,1.3665000601856387,0.8713890913904433,False,True,True,False
236,0.9418352510883191,1.390755704267967,0.8674148867645239,0.951567443403628,0.9490142596064386,1.374826339716507,0.8727654871727111,True,True,True,True
237,0.9438852780338436,1.3857620285396,0.8683152777246105,0.943942282256015,0.9506555304698522,1.3697715579933876,0.8736266924292158,False,True,True,False
238,0.9452301895093344,1.3903940108965858,0.8679634821601847,0.9382969090338837,0.9519987688996173,1.374735396491063,0.8735130957762853,False,True,True,False
239,0.9473578156217661,1.3817908873290867,0.8666101787339712,0.9299818988862258,0.9546208679282151,1.3674933097054824,0.8718370707174589,False,True,True,False
240,0.9418044141084234,1.386222482822222,0.8673637005765724,0.9534799126840293,0.9483945971934241,1.3714716597580603,0.8725866056762211,True,True,True,True
241,0.9441020668335675,1.3860667974124052,0.8668108345546776,0.9431092197817268,0.9516091351378074,1.3704649431412317,0.8716872810564515,False,True,True,False
242,0.942194501126741,1.3912035969564216,0.8657901933323942,0.951268846839414,0.9495009363962006,1.3750251938401346,0.8708689375312947,True,True,True,True
243,0.9421605164913792,1.3867701770349807,0.8645492450040698,0.95132461700066,0.9490672125060549,1.3723628556864726,0.8693781505392266,True,True,True,True
244,0.9462444148763495,1.385621654450511,0.8667961548873925,0.9355081689212327,0.9535633568612729,1.3697552685097054,0.8720974429637269,False,True,True,False
245,0.9444027699750177,1.3892429976848477,0.863629494681521,0.9421161219082184,0.9514460599944786,1.3741204417965838,0.8689026033297285,False,True,True,False
246,0.9434094010852564,1.3830913378363718,0.8670882940603378,0.9460532105838332,0.9506051998768289,1.3674653052656394,0.8726602777862102,False,True,True,False
247,0.9430888019576068,1.3854768703597944,0.867545765199075,0.9475800256254496,0.950284913226955,1.3702750794600576,0.8732580090933166,False,True,True,False
248,0.9436337918610443,1.388455941980641,0.8666321479609801,0.9450147602425678,0.9506913313585627,1.3737181101834173,0.8716719546663979,False,True,True,False
249,0.9420034682189675,1.3928249632474985,0.867252004562401,0.95093522416354,0.9487872700687305,1.3787234743297816,0.8726219514987364,True,True,True,True
250,0.9418006808698299,1.3867774817560523,0.868339173324535,0.9527381936822751,0.9488205326895703,1.3710137600508436,0.8735085995268923,True,True,True,True
251,0.9404083383625065,1.385519102940652,0.8658404710001888,0.9565641485483917,0.9472810013839046,1.3700745033367685,0.8714022381929432,True,True,True,True
252,0.9416138286909848,1.3923050085506259,0.868086364980775,0.9542372284232251,0.9485953640579328,1.3779013143358416,0.8736637795283712,True,True,True,True
253,0.9436284212533627,1.390517771852199,0.8663174176363736,0.9448865890815008,0.9508480795112316,1.374767644624474,0.871688888080631,False,True,True,False
254,0.9429222813920127,1.3807911607770922,0.866584382934133,0.9482818377840059,0.9501018817199783,1.3650191534031733,0.8716900712274365,False,True,True,False
255,0.943103352735382,1.392537996059668,0.8681244183941151,0.9471106927820433,0.9499661868751181,1.3768567131260232,0.8737844211599768,True,True,True,True
256,0.9419115473862762,1.386947041044798,0.8657348670373071,0.9517778328721832,0.9489107101116444,1.3715276934865157,0.8707052154604832,True,True,True,True
257,0.9424082942628202,1.396371686504514,0.867070494105245,0.9504573592632745,0.949380367056429,1.3818223697205012,0.8724911853671696,True,True,True,True
258,0.9437418589435451,1.3798252672721003,0.8654430938674176,0.9445171817875162,0.9507853334657841,1.3637542282557351,0.870563065562491,False,True,True,False
259,0.9441234979057055,1.3817997476827715,0.8683609318458485,0.9431478816570477,0.9514381092019524,1.3663315064197212,0.8738329375016537,False,True,True,False
260,0.9444736854864152,1.3902570931781044,0.8670598569456645,0.9415587585760846,0.9511815226807038,1.3757902611323396,0.8722283376945037,False,True,True,False
261,0.9416621452382017,1.3875135536152485,0.8680809759227421,0.9540175679051606,0.9484500351909952,1.3724768119920516,0.8733700516445719,True,True,True,True
262,0.9418718354769574,1.3917419636848856,0.8682772814057477,0.9526047141759683,0.9481614802956839,1.3775266366661676,0.873688526188372,True,True,True,True
263,0.9454796792592243,1.3775016055404161,0.8690095175692817,0.9379718675547168,0.9527506471906726,1.3623785036393847,0.8744003939941705,False,True,True,False
264,0.9413556724485892,1.384679750494447,0.8670210742946006,0.9541286926898662,0.9484215964397403,1.3698957923643622,0.8726113552204413,True,True,True,True
265,0.9476435862014498,1.3835084276148695,0.8649860855560979,0.9284492203058579,0.9546617874862809,1.368327547385698,0.8698614207787819,False,True,True,False
266,0.9427643384535068,1.3817713763199124,0.8675130455307992,0.9486583382573416,0.949773149314777,1.3661892276735348,0.8723881617818123,True,True,True,True
267,0.9447834057732584,1.3814163731024025,0.8667345584460573,0.9402904371809726,0.952108170709963,1.3656410867586677,0.872128195431401,False,True,True,False
268,0.9399117694580739,1.391012477822053,0.8659470897700755,0.9602543143545823,0.9473529649872585,1.375694645084929,0.8713281765667116,True,True,True,True
269,0.9459210649212936,1.38157383400906,0.8683672484078038,0.935817895531566,0.9530375931263906,1.3652924319442112,0.8738658972476654,False,True,True,False
270,0.9418812942623681,1.3878924955383174,0.8672480743522821,0.9516331953689758,0.9489870730851243,1.3731194520349699,0.8727250311307393,True,True,True,True
271,0.940941484771075,1.380899177170257,0.8674600298353996,0.9559372695792634,0.9479259217918308,1.365350527540706,0.8729642539422995,True,True,True,True
272,0.9434915384174785,1.3821925482170827,0.8672941877104029,0.9459635184218217,0.9505420066471194,1.366649297596931,0.8725303943401189,False,True,True,False
273,0.9472542299866223,1.385419911621843,0.867386751166945,0.9301412867926742,0.9540132974568233,1.3692197510081803,0.8721218428288087,False,True,True,False
274,0.9400208193907391,1.3956582468660501,0.8647107552699855,0.9593174470293787,0.9473239938458189,1.381005763070962,0.8695518993152297,True,True,True,True
275,0.9428960850604556,1.3839179785030014,0.8700940877412972,0.947930321366538,0.9496898192837715,1.3685487260323763,0.8752635315582491,True,True,True,True
276,0.9443542480519,1.3823116682648455,0.8683369005219657,0.9423157836750764,0.9514288334870663,1.367053198578643,0.873552518405999,False,True,True,False
277,0.9467421945757626,1.3834859535628312,0.8663042727366931,0.9339107967113766,0.9537454702587284,1.3688207466058306,0.8710568350474726,False,True,True,False
278,0.9442697573808445,1.3811647246866965,0.868776572995547,0.942587724337137,0.9507473173077119,1.3650437048758368,0.8738636297512556,False,True,True,False
279,0.9466214014120227,1.3809455191017452,0.8685299040416056,0.932647419490307,0.953394671081319,1.3652686854464318,0.8735909982208185,False,True,True,False
280,0.9454455308405184,1.38634444489123,0.8692917431496774,0.9374126685052678,0.9526569363767767,1.3712599526907578,0.8746759174591509,False,True,True,False
281,0.9446774660775326,1.3847205171777768,0.8680822444273636,0.9413066973568969,0.9517335711415504,1.3690691444719152,0.8733384860953916,False,True,True,False
282,0.9423574935624505,1.3902527408055034,0.8669389038522803,0.9505483281615666,0.9490057832191887,1.3744398427755,0.8719573177511627,True,True,True,True
283,0.9443628411066367,1.389259022238475,0.8694398631224372,0.9417645554779474,0.9512947489821457,1.374303542223071,0.8745706792808282,False,True,True,False
284,0.9425132376278142,1.3823002192196252,0.8666777212294374,0.9491916235116074,0.9493311583772086,1.3665406491418917,0.8713933148765568,True,True,True,True
285,0.9456075797870817,1.3910864423054403,0.8685730159264622,0.9375293745968347,0.9526190784070089,1.3752480855158826,0.8736783084060381,False,True,True,False
286,0.9429854408172571,1.3826836559608955,0.8698970997744127,0.947430336310763,0.9497566454871785,1.368074097132835,0.8751414176826857,True,True,True,True
